system:index,LST,Year,.geo
0,26.41557539344798,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,20.466907385158873,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,21.067179594954364,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,21.015832595038635,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,19.17073707349492,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
