system:index,LST,Year,.geo
0,33.734224127277734,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,37.67035835558135,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,41.2798511227185,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,42.4471973625572,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,41.62182400115767,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
