system:index,LST,Year,.geo
0,21.97595248127138,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,25.516762341133877,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,19.77612204868828,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,18.47051549616605,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
